name1,name2,distance
Fangak,Gulu,871.87
Fangak,Jewi,1568.03
Fangak,Juba,615.36
Fangak,Kakuma,1032.01
Fangak,Kapoeta,819.98
Fangak,Khartoum,2161.13
Fangak,Kiryandongo,961.39
Fangak,Kule,1578.32
Fangak,Lainya,695.57
Fangak,Lekr,739.12
Fangak,Lolimi,877.72
Fangak,Magwi,727.8
Fangak,Malakal,2058.2
Fangak,Malut,1913.03
Fangak,Maridi,894.89
Fangak,Mayom,1387.25
Fangak,Melut,1943.11
Fangak,Mongalla,959.37
Fangak,Mundri,804.75
Fangak,Mvolo,894.89
Fangak,Nasir,1690.38
Fangak,Pariang,1424.18
Fangak,Pibor,364.12
Fangak,Pochalla,1538.17
Fangak,Pugnido,1529.25
Fangak,Renk,2220.86
Fangak,Rhino,915.21
Fangak,Rubkona,1306.98
Fangak,Rumbek,1003.71
Fangak,Tambura,1465.95
Fangak,Terakeka,686.94
Fangak,Tierkidi,1565.63
Fangak,Torit,685.5
Fangak,Wau,1218.68
Fangak,West Kordofan,2246.33
Fangak,Wunagak,2102.9
Fangak,Yei,749.94
Fangak,Yirol,897.38
Fashada,Gambela,484.81
Fashada,Gulu,1469.02
Fashada,Jewi,508.55
Fashada,Juba,1449.02
Fashada,Kakuma,1280.69
Fashada,Kapoeta,1188.89
Fashada,Khartoum,721.24
Fashada,Kiryandongo,1571.48
Fashada,Kule,502.59
Fashada,Lainya,1528.35
Fashada,Lekr,1542.85
Fashada,Lolimi,1130.76
Fashada,Magwi,1429.51
Fashada,Malakal,68.2
Fashada,Malut,127.89
Fashada,Maridi,1736.36
Fashada,Mayom,1266.07
Fashada,Melut,153.76
Fashada,Mongalla,1049.17
Fashada,Mundri,1710.06
Fashada,Mvolo,1601.36
Fashada,Nasir,505.4
Fashada,Pariang,1164.27
Fashada,Pibor,1758.0
Fashada,Pochalla,595.51
Fashada,Pugnido,587.08
Fashada,Renk,268.47
Fashada,Rhino,1566.24
Fashada,Rubkona,1222.4
Fashada,Rumbek,1527.56
Fashada,Tambura,1694.27
Fashada,Terakeka,1802.38
Fashada,Tierkidi,451.36
Fashada,Torit,1322.18
Fashada,Wau,1482.75
Fashada,West Kordofan,1225.7
Fashada,Wunagak,114.75
Fashada,Yei,1583.24
Fashada,Yirol,1635.71
Gambela,Gulu,1022.82
Gambela,Jewi,25.58
Gambela,Juba,968.95
Gambela,Kakuma,800.62
Gambela,Kapoeta,708.51
Gambela,Khartoum,957.11
Gambela,Kiryandongo,1132.49
Gambela,Kule,64.62
Gambela,Lainya,1048.28
Gambela,Lekr,1065.79
Gambela,Lolimi,650.69
Gambela,Magwi,949.37
Gambela,Malakal,534.06
Gambela,Malut,390.16
Gambela,Maridi,1247.82
Gambela,Mayom,1526.11
Gambela,Melut,418.28
Gambela,Mongalla,582.83
Gambela,Mundri,1157.75
Gambela,Mvolo,1246.51
Gambela,Nasir,167.22
Gambela,Pariang,1407.08
Gambela,Pibor,1277.58
Gambela,Pochalla,112.99
Gambela,Pugnido,104.42
Gambela,Renk,527.32
Gambela,Rhino,1126.74
Gambela,Rubkona,1482.45
Gambela,Rumbek,1790.07
Gambela,Tambura,1956.51
Gambela,Terakeka,1040.9
Gambela,Tierkidi,38.91
Gambela,Torit,841.76
Gambela,Wau,1745.28
Gambela,West Kordofan,1461.88
Gambela,Wunagak,579.28
Gambela,Yei,1103.17
Gambela,Yirol,1249.92
Gulu,Jewi,1062.15
Gulu,Juba,276.48
Gulu,Kakuma,359.38
Gulu,Kapoeta,320.85
Gulu,Khartoum,1818.72
Gulu,Kiryandongo,114.77
Gulu,Kule,1073.74
